;codice_provincia;provincia;variazione_pop_residente;densita_umana;dispersione_abitazioni;mobilita_privata;sottoutilizzo_abitazioni;densita_commercio_dettaglio_sede_fissa;attrattivita_residenziale;vecchiaia;verde_urbano_pro_capite;coppie_giovani_con_figli;occupazione;ricambio_occupazionale;presenza_universitaria;pendolarismo;mobilita_residenziale;dinamismo_economico;tasso_funzione_ricettiva;visitatori_luoghi_cultura;luoghi_cultura;poli_fieristici;stadi;intrattenimento;hub_commerciali;digital_divide;stazione_silver;stazioni_accessibili;posti_letto_ospedale;dinamismo_pa;mobilita_pubblica;biblioteche;abbandono_scolastico_1grado;abbandono_scolastico_2grado;uscita_precoce_istruzione_formazione;disoccupazione;disoccupazione_giovanile;giovani_fuori_mercato_lavoro_formazione;famiglie_rischio_disagio_economico;anziani_soli;suicidio;affollamento_abitazioni;edifici_residenziali_pessimo_stato;servizi_abitazione;popolazione_straniera;coppie_miste;gini;occupazione_ita_straniera;occupazione_m_f;pericolo_frana;suolo_consumato_pro_capite;suolo_agricolo_utilizzato;rifiuti_urbani_pro_capite;mobilita_lenta;acqua_potabile;raccolta_differenziata;impianti_fotovoltaici;auto_e5_e6;cnr;centri_eccellenza
33;FM;Fermo;-0.1;367.9;0.14;76.3;36.3;42.2;7.4;181.8;2.3;6;46.8;380.8;1;0.82;6.2;0.29;0;0;5;0;0;0;0;2.5;0;2;8.5;0.21;6.6;0.2;0.2;0.5;8.9;9.7;28.3;8.5;1.5;22.2;4;0.5;1.1;99.5;8.1;2.8;0.204;83.5;1.42;1.8;349.4;91.8;544.7;11.2;79.3;38.8;2.9;9.2;0;0
34;FE;Ferrara;-0.3;358.9;0.06;63.4;37.2;26.3;10.5;257.5;15.2;4.4;48.6;490.5;1;0.86;7.4;0.37;0.6;50850;23;1;1;1;5;1.6;1;4;6.9;0.59;8;0.7;0.1;0.9;8.1;7;28.5;6.5;0.9;28;15.3;0.2;0.9;99.8;7.3;2.4;0.2047;75.8;1.29;0;398.9;91.2;647;27.3;96.3;49.7;3.4;14.6;0;1
35;FI;Firenze;0.6;4377.8;0.01;55.2;28.7;90.9;6;220.4;9.8;4.2;48.9;432.2;2;0.83;7;0.88;11.6;4427197;104;1;1;1;0;0;1;4;7.5;1.15;17.4;0.7;0.1;1.3;10.3;6.8;25.1;9.4;1.2;29;30.3;0.5;1.1;99.6;12;4.2;0.2272;72.7;1.31;4;111.9;80.5;617;26.4;87.7;41.8;2.7;17.4;5;0
36;FG;Foggia;-0.1;319.2;0.05;58.4;28.4;82.1;-2.7;129.5;0;7.4;36.9;339.4;1.5;0.85;4.8;0.02;0.2;0;7;0;1;1;2;1;1;4;6.5;0.54;10;0.1;0.5;0.6;16.6;16.4;48.3;17.5;4.6;24;10.3;1.6;2.8;99.2;1.8;0.7;0.2152;62.1;1.87;0;254.1;95.2;403.1;30.8;69.6;3.9;1.4;6.9;0;1
37;FR;Frosinone;-0.8;1336.3;0.03;74.9;36.4;34.7;-0.7;158.6;21.9;5.6;43;352.2;1;0.79;5.4;0.86;2.2;0;1;0;0;1;1;0;1;1;6.3;0.7;11.5;0.2;0;2;15.3;12.9;41.2;13.2;3;27.5;2;0.4;0.8;99.3;5.7;1.6;0.2121;80;1.57;2.1;291.3;86.6;576.7;11.4;59.7;15;5.2;10.6;0;0
38;GE;Genova;-0.7;2591.9;0.01;46.1;26.2;93.4;4.2;241.2;0;4.6;44.9;387.4;1;0.87;6;0.47;0.7;65199;58;1;1;5;3;0.1;1;4;5.2;1.17;31.5;0.3;0.2;1.8;13.4;7.9;28.5;8.1;1.3;32.3;13;0.4;1.6;99.5;7.6;2.4;0.2111;70.6;1.4;30.9;97.1;26.1;512.4;21.5;101.1;31.5;1.6;13.5;4;0
39;GO;Gorizia;-0.5;969.1;0.01;67.9;34.8;30.7;5;228.1;18.4;6.4;45.3;411.5;1;0.84;7.1;0.22;6;0;3;0;0;0;0;0.2;1;4;4.9;0.34;7.8;0.6;0.2;0.9;10.3;10;33.1;8.4;1.4;32.3;3;0.3;1.1;99.5;8.3;3.5;0.2064;82.1;1.41;0.3;312.1;70.1;441;23.5;125.9;54.7;13.7;11.1;0;0
40;GR;Grosseto;0.1;185.8;0.09;75.5;28;54.2;15.1;178.9;10.4;5.8;48.1;377.2;0.5;0.84;6.8;0.39;4.9;18897;5;0;0;3;0;1.2;1;4;4;0.31;4.2;0.1;0.1;1.6;9.9;8.5;29.9;8.9;1.7;26.8;6.3;0.5;0.3;99.7;6.6;2.9;0.2026;82.8;1.37;12.3;386;83.7;572.1;19;81.3;33.9;1.2;10.6;0;0
41;CI;Iglesias;-0.2;134.7;0.1;68.2;31.9;55.7;0;179.7;0;4.6;39.1;411.1;0.5;0.84;6.5;-0.19;0.9;0;6;0;0;1;0;6.6;1;1;5;0.22;8;0.1;0;1.6;25.4;21.4;59.2;10.1;3.7;26.3;3;0.2;2.4;96.3;1.1;0.7;0.1918;62.9;1.56;7.8;330.8;72;384.5;21.6;69.6;69.2;1.7;8.8;0;0
42;IM;Imperia;-0.3;1047.1;0.03;67.9;28.8;34.8;11.9;204.4;0;5.5;45.4;376;0.5;0.83;7.5;0.34;16.2;0;9;0;0;0;0;1.1;1;4;0;0.36;8.4;0.1;0;3.7;15.4;8.6;27.8;11.1;1.6;31.3;4;0.6;0.7;99.6;11.3;3.4;0.2092;85.3;1.4;4.1;235.6;40.7;509.9;22.1;91.7;22.7;3.1;11;0;0
